zone,min,default,max
Underwater Ruins,0,1,1
Besaid Lagoon,1,2,4
Besaid Road,0,0,1
Lord Ochu (Way In),0,0,1
Kilika Woods (Way In),0,3,6
Lord Ochu (Way Out),0,0,1
Kilika Woods (Way Out),0,3,6
Miihen Screen 1,0,3,6
Miihen Screen 2/3,0,7,10
Simulation (Miihen),0,0,1
Old Road,0,4,8
Simulation (Old Road),0,0,1
Clasko Skip Screen,0,2,3
MRR - Valley,0,5,10
MRR - Precipice,0,1,3
Djose Highroad (Front Half),0,2,3
Djose Highroad (Back Half),0,3,6
Moonflow (South),0,8,10
Moonflow (North),0,2,10
Thunder Plains (South),0,7,10
Thunder Plains (North),0,7,10
Macalania Woods,0,7,10
Lake Macalania,0,1,1
Guado Encounter,0,0,2
Crevasse,0,2,5
Bikanel (Pre Machina),0,3,5
Bikanel (Post Machina),0,1,5
Bikanel (Central),0,3,5
Bikanel (Ruins),0,0,5
Bikanel (Pre Sandragora),0,1,2
Sandragora 1 refight,0,0,1
Bikanel (Post Sandragora),0,0,2
Airship,0,0,1
Via Purifico,1,2,4
Via Purifico Underwater,0,1,3
Highbridge,0,3,5
Simulation (Calm Lands),0,0,1
Calm Lands,0,10,12
Biran & Yenke,0,0,1
Cave,0,20,100
